l2_reg,ns,number_of_cycles,hidden_units,momentum,value
-4.982581159078981,1194.0,3.0,186.0,0.9396265952911962,0.523
-3.0722051106449877,1200.0,4.0,72.0,0.9293124340445684,0.513
-3.9782108393066764,1199.0,2.0,71.0,0.9318022724285073,0.505
-4.979054332216617,1198.0,6.0,185.0,0.26363823355333615,0.541
-4.998788216953013,1199.0,4.0,108.0,0.6881382376823955,0.538
-4.985275084952945,406.0,3.0,92.0,0.4748271410799428,0.49
-4.9855000844046,1192.0,5.0,53.0,0.2858409762076173,0.514
-3.5870465687606012,1196.0,4.0,198.0,0.20828449484978268,0.553
-3.365349045714129,1189.0,3.0,198.0,0.2909824486012754,0.511
-3.212341968607621,1196.0,6.0,197.0,0.6849047677960587,0.556
-2.842939828262097,1194.0,6.0,191.0,0.3699526439447608,0.554
-3.7175665625768604,1188.0,6.0,196.0,0.7726848979299727,0.546
-3.7203759586676615,1199.0,6.0,194.0,0.609080726475075,0.553
-4.296082972642796,1191.0,6.0,190.0,0.8767936037139294,0.537
-2.8185055350966257,1177.0,6.0,199.0,0.7588907754061491,0.569
-2.87546406104504,1189.0,6.0,192.0,0.7615743240432897,0.554
-2.9237777814896004,1163.0,6.0,196.0,0.5868119476931233,0.576
-3.319125602390726,429.0,6.0,198.0,0.7922775650348353,0.536
-2.8297916261286367,1169.0,6.0,195.0,0.5189834179360024,0.554
-3.14914796046835,1170.0,6.0,196.0,0.8310775989122388,0.565
-2.80782345893072,1161.0,6.0,197.0,0.8101213864670223,0.558
-2.4747289672842174,1199.0,6.0,200.0,0.41772892306946285,0.557
-3.4743996579454843,468.0,6.0,200.0,0.42059290047009246,0.499
-3.906495695427119,1194.0,6.0,199.0,0.659747919611607,0.563
-2.4145336238528343,1198.0,6.0,199.0,0.5861898767909273,0.556
-2.9414411698686016,1185.0,6.0,191.0,0.8783591580413674,0.555
-4.33904345395037,1176.0,6.0,200.0,0.3072083273371864,0.537
-4.948921044768615,1194.0,6.0,196.0,0.4513940321625403,0.552
-2.294408648498343,1186.0,6.0,196.0,0.8554366189600764,0.552
-2.8364361135947065,1187.0,6.0,190.0,0.6571792241031986,0.571
-2.5051848231550844,1185.0,6.0,189.0,0.21499371404393836,0.554
-3.817611712818831,1196.0,6.0,200.0,0.4354458204099667,0.558
-2.857189533365589,1185.0,2.0,198.0,0.2505572740016139,0.537
-3.1785984415985484,1200.0,6.0,52.0,0.9239448951457334,0.529
-2.808621868763312,1196.0,2.0,199.0,0.22336837178001656,0.543
-4.88294314662996,1198.0,6.0,200.0,0.8687877427620232,0.564
-3.619100932656435,1150.0,6.0,198.0,0.30750490818625853,0.558
-2.1648984055423215,1199.0,6.0,200.0,0.770587766208112,0.541
-3.5547875371957423,1191.0,6.0,193.0,0.45082597173808475,0.576
-4.988229702094412,1172.0,6.0,199.0,0.8915359697001934,0.579
-3.138269767667827,1192.0,6.0,197.0,0.21308512040756156,0.556
-3.2165131150314923,414.0,6.0,198.0,0.7048365103894634,0.536
-4.982969044926693,1177.0,6.0,61.0,0.41482487373601035,0.528
-4.81577094378731,417.0,6.0,197.0,0.7971098178314466,0.533
-4.965453157135427,1191.0,6.0,185.0,0.42949041635756713,0.523
